feedback_id,cluster_id,cluster_label,v3_cluster_id,v3_cluster_label
SYN-ENH-199,6,V4_C6,4,C1.3
SYN-ENH-200,2,V4_C2,1,C1.0
SYN-ENH-201,0,V4_C0,9,C4.0
SYN-ENH-202,2,V4_C2,1,C1.0
SYN-ENH-203,2,V4_C2,1,C1.0
SYN-ENH-204,2,V4_C2,3,C1.2
SYN-ENH-205,2,V4_C2,1,C1.0
SYN-ENH-206,2,V4_C2,1,C1.0
SYN-ENH-207,2,V4_C2,1,C1.0
SYN-ENH-208,0,V4_C0,9,C4.0
SYN-ENH-209,2,V4_C2,1,C1.0
SYN-ENH-210,6,V4_C6,4,C1.3
SYN-ENH-211,6,V4_C6,4,C1.3
SYN-ENH-212,2,V4_C2,1,C1.0
SYN-ENH-213,2,V4_C2,1,C1.0
SYN-ENH-214,2,V4_C2,1,C1.0
SYN-ENH-215,2,V4_C2,3,C1.2
SYN-ENH-216,2,V4_C2,1,C1.0
SYN-ENH-217,2,V4_C2,1,C1.0
SYN-ENH-218,2,V4_C2,1,C1.0
SYN-ENH-219,2,V4_C2,1,C1.0
SYN-ENH-220,2,V4_C2,1,C1.0
SYN-ENH-221,0,V4_C0,9,C4.0
SYN-ENH-222,4,V4_C4,6,C2
SYN-ENH-223,4,V4_C4,6,C2
SYN-ENH-224,4,V4_C4,6,C2
SYN-ENH-225,6,V4_C6,2,C1.1
SYN-ENH-226,4,V4_C4,6,C2
SYN-ENH-227,6,V4_C6,2,C1.1
SYN-ENH-228,4,V4_C4,6,C2
SYN-ENH-229,4,V4_C4,6,C2
SYN-ENH-230,4,V4_C4,6,C2
SYN-ENH-231,6,V4_C6,2,C1.1
SYN-ENH-232,4,V4_C4,6,C2
SYN-ENH-233,4,V4_C4,6,C2
SYN-ENH-234,4,V4_C4,6,C2
SYN-ENH-235,6,V4_C6,2,C1.1
SYN-ENH-236,4,V4_C4,6,C2
SYN-ENH-237,4,V4_C4,6,C2
SYN-ENH-238,4,V4_C4,6,C2
SYN-ENH-239,4,V4_C4,6,C2
SYN-ENH-240,6,V4_C6,2,C1.1
SYN-ENH-241,4,V4_C4,6,C2
SYN-ENH-242,6,V4_C6,2,C1.1
SYN-ENH-243,4,V4_C4,6,C2
SYN-ENH-244,4,V4_C4,6,C2
SYN-ENH-245,4,V4_C4,6,C2
SYN-ENH-246,6,V4_C6,2,C1.1
SYN-ENH-247,4,V4_C4,6,C2
SYN-ENH-248,6,V4_C6,2,C1.1
SYN-ENH-249,4,V4_C4,6,C2
SYN-ENH-250,6,V4_C6,2,C1.1
SYN-ENH-251,4,V4_C4,6,C2
SYN-ENH-252,4,V4_C4,6,C2
SYN-ENH-253,6,V4_C6,2,C1.1
SYN-ENH-254,6,V4_C6,2,C1.1
SYN-ENH-255,4,V4_C4,6,C2
SYN-ENH-256,6,V4_C6,2,C1.1
SYN-ENH-257,6,V4_C6,2,C1.1
SYN-ENH-258,6,V4_C6,2,C1.1
SYN-ENH-259,4,V4_C4,6,C2
SYN-ENH-260,4,V4_C4,6,C2
SYN-ENH-261,4,V4_C4,6,C2
SYN-ENH-262,6,V4_C6,2,C1.1
SYN-ENH-263,6,V4_C6,2,C1.1
SYN-ENH-264,4,V4_C4,6,C2
SYN-ENH-265,1,V4_C1,12,C5.1
SYN-ENH-266,1,V4_C1,13,C5.2
SYN-ENH-267,1,V4_C1,13,C5.2
SYN-ENH-268,1,V4_C1,11,C5.0
SYN-ENH-269,1,V4_C1,11,C5.0
SYN-ENH-270,1,V4_C1,13,C5.2
SYN-ENH-271,5,V4_C5,0,C0
SYN-ENH-272,1,V4_C1,13,C5.2
SYN-ENH-273,1,V4_C1,11,C5.0
SYN-ENH-274,1,V4_C1,13,C5.2
SYN-ENH-275,1,V4_C1,11,C5.0
SYN-ENH-276,1,V4_C1,12,C5.1
SYN-ENH-277,1,V4_C1,13,C5.2
SYN-ENH-278,1,V4_C1,11,C5.0
SYN-ENH-279,1,V4_C1,13,C5.2
SYN-ENH-280,1,V4_C1,11,C5.0
SYN-ENH-281,1,V4_C1,11,C5.0
SYN-ENH-282,1,V4_C1,13,C5.2
SYN-ENH-283,1,V4_C1,11,C5.0
SYN-ENH-284,1,V4_C1,13,C5.2
SYN-ENH-285,1,V4_C1,12,C5.1
SYN-ENH-286,1,V4_C1,12,C5.1
SYN-ENH-287,1,V4_C1,12,C5.1
SYN-ENH-288,1,V4_C1,13,C5.2
SYN-ENH-289,1,V4_C1,11,C5.0
SYN-ENH-290,1,V4_C1,13,C5.2
SYN-ENH-291,1,V4_C1,12,C5.1
SYN-ENH-292,1,V4_C1,11,C5.0
SYN-ENH-293,1,V4_C1,12,C5.1
SYN-ENH-294,1,V4_C1,13,C5.2
SYN-ENH-295,1,V4_C1,11,C5.0
SYN-ENH-296,1,V4_C1,13,C5.2
SYN-ENH-297,1,V4_C1,12,C5.1
SYN-ENH-298,1,V4_C1,11,C5.0
SYN-ENH-299,1,V4_C1,13,C5.2
SYN-ENH-300,1,V4_C1,13,C5.2
