feedback_id,cluster_id,cluster_label,v3_cluster_id,v3_cluster_label
PUB-000306,3,V4_C3,7,C3.0
PUB-000307,3,V4_C3,8,C3.1
PUB-000308,3,V4_C3,8,C3.1
PUB-000309,3,V4_C3,8,C3.1
PUB-000310,5,V4_C5,0,C0
PUB-000311,3,V4_C3,8,C3.1
PUB-000312,4,V4_C4,6,C2
PUB-000313,3,V4_C3,7,C3.0
PUB-000314,4,V4_C4,6,C2
PUB-000315,5,V4_C5,0,C0
PUB-000316,4,V4_C4,6,C2
PUB-000317,4,V4_C4,6,C2
PUB-000318,5,V4_C5,0,C0
PUB-000319,3,V4_C3,7,C3.0
PUB-000320,3,V4_C3,7,C3.0
PUB-000321,3,V4_C3,7,C3.0
PUB-000322,5,V4_C5,0,C0
PUB-000323,6,V4_C6,2,C1.1
PUB-000324,4,V4_C4,6,C2
PUB-000325,4,V4_C4,6,C2
PUB-000326,5,V4_C5,0,C0
PUB-000327,4,V4_C4,6,C2
PUB-000328,5,V4_C5,0,C0
PUB-000329,5,V4_C5,0,C0
PUB-000330,3,V4_C3,8,C3.1
PUB-000331,5,V4_C5,0,C0
PUB-000332,3,V4_C3,8,C3.1
PUB-000333,5,V4_C5,0,C0
PUB-000334,3,V4_C3,8,C3.1
PUB-000335,5,V4_C5,0,C0
PUB-000336,4,V4_C4,6,C2
PUB-000337,5,V4_C5,0,C0
PUB-000338,4,V4_C4,6,C2
PUB-000339,3,V4_C3,8,C3.1
PUB-000340,3,V4_C3,8,C3.1
PUB-000341,5,V4_C5,0,C0
PUB-000342,4,V4_C4,6,C2
PUB-000343,3,V4_C3,8,C3.1
PUB-000344,4,V4_C4,6,C2
PUB-000345,5,V4_C5,0,C0
PUB-000346,4,V4_C4,6,C2
PUB-000347,4,V4_C4,6,C2
PUB-000348,3,V4_C3,7,C3.0
PUB-000349,3,V4_C3,8,C3.1
PUB-000350,4,V4_C4,6,C2
SYN-SUP-001,7,V4_C7,5,C1.4
SYN-SUP-002,7,V4_C7,5,C1.4
SYN-SUP-003,7,V4_C7,5,C1.4
SYN-SUP-004,7,V4_C7,5,C1.4
SYN-SUP-005,7,V4_C7,5,C1.4
SYN-SUP-006,7,V4_C7,5,C1.4
SYN-SUP-007,7,V4_C7,5,C1.4
SYN-SUP-008,7,V4_C7,5,C1.4
SYN-SUP-009,7,V4_C7,5,C1.4
SYN-SUP-010,7,V4_C7,5,C1.4
SYN-SUP-011,7,V4_C7,5,C1.4
SYN-SUP-012,7,V4_C7,5,C1.4
SYN-SUP-013,7,V4_C7,5,C1.4
SYN-SUP-014,7,V4_C7,5,C1.4
SYN-SUP-015,7,V4_C7,5,C1.4
SYN-SUP-016,7,V4_C7,5,C1.4
SYN-SUP-017,7,V4_C7,5,C1.4
SYN-SUP-018,7,V4_C7,5,C1.4
SYN-SUP-019,7,V4_C7,5,C1.4
SYN-SUP-020,7,V4_C7,5,C1.4
SYN-SUP-021,2,V4_C2,3,C1.2
SYN-SUP-022,2,V4_C2,3,C1.2
SYN-SUP-023,2,V4_C2,3,C1.2
SYN-SUP-024,2,V4_C2,3,C1.2
SYN-SUP-025,2,V4_C2,3,C1.2
SYN-SUP-026,2,V4_C2,3,C1.2
SYN-SUP-027,2,V4_C2,3,C1.2
SYN-SUP-028,2,V4_C2,3,C1.2
SYN-SUP-029,2,V4_C2,3,C1.2
SYN-SUP-030,2,V4_C2,3,C1.2
SYN-SUP-031,2,V4_C2,3,C1.2
SYN-SUP-032,2,V4_C2,3,C1.2
SYN-SUP-033,2,V4_C2,3,C1.2
SYN-SUP-034,2,V4_C2,3,C1.2
SYN-SUP-035,6,V4_C6,4,C1.3
SYN-SUP-036,6,V4_C6,4,C1.3
SYN-SUP-037,6,V4_C6,4,C1.3
SYN-SUP-038,6,V4_C6,4,C1.3
SYN-SUP-039,6,V4_C6,4,C1.3
SYN-SUP-040,1,V4_C1,12,C5.1
SYN-SUP-041,1,V4_C1,12,C5.1
SYN-SUP-042,1,V4_C1,12,C5.1
SYN-SUP-043,6,V4_C6,2,C1.1
SYN-SUP-044,6,V4_C6,2,C1.1
SYN-SUP-045,6,V4_C6,2,C1.1
SYN-SUP-046,6,V4_C6,2,C1.1
SYN-SUP-047,6,V4_C6,2,C1.1
SYN-SUP-048,6,V4_C6,2,C1.1
SYN-SUP-049,6,V4_C6,2,C1.1
